card_number,card_name,effect_id,action_order,trigger,condition,effect_group,action_type,reusable_function,target,value,duration,needs_review,notes,original_effect_text
068,Maniac,068-E01,1,DURING_HIT_ROLL,This creature rolls to hit,Hit Outcome Override,APPLY_HIT_OUTCOME_OVERRIDE,applyHitOutcomeOverride,This creature hit roll,Ignore target AL; use custom outcome table,While on field,FALSE,This card is unaffected by Hit Modifier increases.,"When this creature rolls to hit, ignore the target's AL. Use the following outcomes instead: 1-7: Critical Fail. 8-12: Critical Hit. 13+: Normal Hit. This card is unaffected by Hit Modifier increases."
068,Maniac,068-E02,2,STATIC_RULE,Hit Modifier increase would apply,Modifier Immunity,APPLY_IMMUNITY,applyImmunity,This creature,Unaffected by Hit Modifier increases,While on field,FALSE,,"When this creature rolls to hit, ignore the target's AL. Use the following outcomes instead: 1-7: Critical Fail. 8-12: Critical Hit. 13+: Normal Hit. This card is unaffected by Hit Modifier increases."
069,Unicorn Might,069-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,AL ADD -2,While equipped,FALSE,Basic stat/dice modifier.,AL: -2.
070,Sacrificial Goat,070-E01,1,STATIC_RULE,This creature is used as a sacrifice,Sacrifice Value,APPLY_SACRIFICE_VALUE,applySacrificeValue,This creature,Counts as 2 sacrifices,While on field or in hand,FALSE,,This creature counts as 2 sacrifices while on the field or in your hand.
071,Sonic Screech,071-E01,1,PRIOR_TO_EACH_BATTLE,Prior to each battle involving equipped creature,Pre-Battle Roll Gate,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Equipped creature,Roll: 1-2 destroy this card; 3-6 take 5 damage and cannot cause Atk damage,Current battle,TRUE,Modeled no-Atk-damage clause as lasting for the current battle caused by the 3-6 roll.,"Prior to each battle, the equipped creature must roll 1 die. If the result is: 1-2: The effect ends. Destroy this card. 3-6: Equipped creature receives 5 damage, and cannot cause Atk damage."
072,Moon Cat,072-E01,1,DURING_DAMAGE_CALC,"Target name contains ""Were""",Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,"Creature with ""Were"" in its name",2x Atk damage,Current battle,FALSE,,"This card inflicts 2x Atk damage to any creature with ""Were"" in its name. It also receives the effects of the ""Full Moon"" magic card."
072,Moon Cat,072-E02,2,WHILE_ON_FIELD,"This card receives effects of ""Full Moon""",Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,This card,AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1,"While ""Full Moon"" effect applies",FALSE,Hard-coded Full Moon effects onto Moon Cat. Review if only active while Full Moon card is on field.,"This card inflicts 2x Atk damage to any creature with ""Were"" in its name. It also receives the effects of the ""Full Moon"" magic card."
073,Metallic Bone,073-E01,1,WHILE_EQUIPPED,Equipped to creature,Damage Immunity,APPLY_DAMAGE_IMMUNITY,applyDamageImmunity,Equipped creature,Cannot receive damage,While equipped,FALSE,,"The equipped creature cannot receive damage. During your opponent's turn they may roll 1 die. If the result is 1-3, this card is destroyed."
073,Metallic Bone,073-E02,2,DURING_OPPONENT_TURN,Opponent rolls 1 die; success 1-3,Escape Roll/Destroy,DESTROY_SELF,destroySelf,This card,Destroyed on opponent roll 1-3,Instant,FALSE,,"The equipped creature cannot receive damage. During your opponent's turn they may roll 1 die. If the result is 1-3, this card is destroyed."
074,The Old One,074-E01,1,ON_SUMMON,This card is summoned,Mass Return,MOVE_CARDS,returnCardsToOwnerDeck,All other cards on the field,Return to original owner's deck,Instant,FALSE,,"When summoned, return all cards aside from this card on the field back to their original owner's deck. All players then shuffle and draw the same number of cards they sent to their deck."
074,The Old One,074-E02,2,AFTER_RETURN,Cards were returned by The Old One,Shuffle/Draw,DRAW_CARDS_VARIABLE,drawCardsVariable,All players,Shuffle and draw same number sent to deck,Instant,FALSE,,"When summoned, return all cards aside from this card on the field back to their original owner's deck. All players then shuffle and draw the same number of cards they sent to their deck."
075,Jerry,075-E01,1,WHILE_ON_FIELD,Opponent has a primary creature,Dynamic Stat Copy,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This creature,"Copy opponent primary base AL, SPD, Atk Dice Rolls, Modifier, and Type",While on field,FALSE,Switch stats whenever a new opposing primary creature enters the field.,"This creature copies the base stats of your opponent's primary creature. This includes: AL, SPD, Atk Dice Rolls, Modifier, and Type. Switch stats if a new primary creature enters the field."
076,Lead Boots,076-E01,1,EQUIP_REQUIREMENT,Target is a primary creature,Equip Requirement,VALIDATE_SUMMON_REQUIREMENT,validateSummonRequirement,Target creature,Must be a primary creature,Before equip,FALSE,,Can only be equipped to a primary creature. The equipped creature cannot leave the field or change control unless killed. This card cannot be removed from the field unless destroyed.
076,Lead Boots,076-E02,2,WHILE_EQUIPPED,Equipped creature would leave field or change control without being killed,Zone Restriction,APPLY_PLAY_RESTRICTION,applyPlayRestriction,Equipped creature,Cannot leave field or change control unless killed,While equipped,FALSE,,Can only be equipped to a primary creature. The equipped creature cannot leave the field or change control unless killed. This card cannot be removed from the field unless destroyed.
076,Lead Boots,076-E03,3,STATIC_RULE,This card would be removed without being destroyed,Self Removal Restriction,APPLY_PLAY_RESTRICTION,applyPlayRestriction,This card,Cannot be removed from field unless destroyed,While on field,FALSE,,Can only be equipped to a primary creature. The equipped creature cannot leave the field or change control unless killed. This card cannot be removed from the field unless destroyed.
077,Bound With Chains,077-E01,1,WHILE_FIELD_ACTIVE,A player would remove a card from cemetery,Zone Restriction,APPLY_ZONE_RESTRICTION,applyCemeteryRestriction,All players' cemeteries,Players cannot remove cards from cemetery,While field effect is active,FALSE,,Players cannot remove cards from their cemetery.
078,Magic Watch,078-E01,1,WHILE_EQUIPPED,Equipped creature is in battle,Reroll Permission,APPLY_REROLL_PERMISSION,applyRerollPermission,Equipped creature,May re-roll Hit Dice Roll or Atk Dice Roll once per battle,While equipped,FALSE,,The equipped creature may re-roll either their Hit Dice Roll or Atk Dice Roll once per battle.
079,Raging Inferno,079-E01,1,ON_EQUIPPED_CREATURE_DAMAGED_IN_BATTLE,Equipped creature is damaged in battle,Triggered Damage,DEAL_INSTANT_DAMAGE,dealDirectDamage,Attacking creature,5 damage,Instant,FALSE,,"If the equipped creature is damaged in battle, inflict 5 damage to the attacking creature."
080,Sticky Goo,080-E01,1,ON_OPPONENT_LANDS_HIT,Opponent lands a hit,Negation,NEGATE_ATTACK,negateAttack,Opponent attack,Negate the attack,Instant,FALSE,,Play this card from your hand when your opponent lands a hit. Negate the attack and reduce the attacking creature's Modifier to +0 for 1 turn cycle.
080,Sticky Goo,080-E02,2,AFTER_NEGATE_ATTACK,Sticky Goo negated an attack,Stat Set,APPLY_STAT_MODIFIER,applyStatModifier,Attacking creature,Modifier set to +0,1 turn cycle,FALSE,Temporary stat set. Expires after 1 turn cycle. Turn cycle is one full round back to the same player.,Play this card from your hand when your opponent lands a hit. Negate the attack and reduce the attacking creature's Modifier to +0 for 1 turn cycle.
081,Phoenix Armor,081-E01,1,AT_BEGINNING_OF_EQUIPPED_CREATURE_TURN,Beginning of equipped creature controller's turn,Recurring Damage,DEAL_INSTANT_DAMAGE,dealDirectDamage,Equipped creature,10 damage,While equipped,FALSE,,"The equipped creature receives 10 damage at the beginning of their turns. If the equipped creature is killed, send this card to the cemetery and restore equipped creature's HP to 50%."
081,Phoenix Armor,081-E02,2,IF_EQUIPPED_CREATURE_KILLED,Equipped creature is killed,Replacement/Healing,HEAL_CREATURE,healFlat,Equipped creature,Restore HP to 50%,Instant,TRUE,Half values round up. Needs engine decision whether this replaces the kill or restores after kill before cemetery move.,"The equipped creature receives 10 damage at the beginning of their turns. If the equipped creature is killed, send this card to the cemetery and restore equipped creature's HP to 50%."
082,Poisoned Potion,082-E01,1,ON_OPPONENT_WOULD_HEAL,Opponent intends to heal their creature,Healing Negation,NEGATE_HEALING_AND_CONVERT_TO_DAMAGE,negateHealingAndConvertToDamage,Opponent creature being healed,Take healing amount as damage instead,Instant,FALSE,,Play this card when your opponent intends to heal their creature. Negate the healing and force their creature to take the healing amount as damage instead.
083,Demonic Turtle,083-E01,1,DURING_DAMAGE_CALC,This card has lower SPD than opponent primary creature,Damage Reduction,APPLY_DAMAGE_REDUCTION,applyDamageReduction,This card,Reduce all Atk damage received by 1/2,Current battle,FALSE,Half values round up.,"If this card has a lower SPD stat than your opponent's primary creature, reduce all Atk damage this card receives by 1/2. Inflict the reduced damage back on the attacking creature."
083,Demonic Turtle,083-E02,2,AFTER_DAMAGE_REDUCED,Demonic Turtle reduced Atk damage,Damage Reflection,REFLECT_PREVENTED_DAMAGE,reflectPreventedDamage,Attacking creature,Inflict the reduced/prevented damage back,Instant,FALSE,,"If this card has a lower SPD stat than your opponent's primary creature, reduce all Atk damage this card receives by 1/2. Inflict the reduced damage back on the attacking creature."
084,Vampire Lord,084-E01,1,DURING_YOUR_TURN_ACTIVATED,You choose creature in hand,Cost,PAY_CARD_COST,payCardCost,1 creature from your hand,Send to your cemetery,Instant,FALSE,,"During your turn, you may send 1 creature from your hand to your cemetery. Heal this card 2x the amount of the total HP of the sent creature."
084,Vampire Lord,084-E02,2,AFTER_COST_PAID,Creature sent to cemetery by Life Drain,Healing,HEAL_BY_SENT_CREATURE_HP,healBySentCreatureHp,This card,Heal 2x sent creature total HP,Instant,FALSE,,"During your turn, you may send 1 creature from your hand to your cemetery. Heal this card 2x the amount of the total HP of the sent creature."
085,Equip Knight,085-E01,1,ON_SUMMON,This creature is summoned,Deck Search,SEARCH_DECK_TO_EQUIP,searchDeckToEquip,Your deck,Search for 2 equip magic cards and equip them to this creature,Instant,FALSE,,"When summoned, you may search your deck for 2 equip magic cards. Equip them to this creature. Shuffle."
086,Thief,086-E01,1,ON_SUMMON,Opponent controls an equip card,Control/Equip Steal,STEAL_EQUIP_CARD,stealEquipCard,1 opponent equip card,Steal and equip to this card,While source remains active,FALSE,,"When summoned, steal 1 equip card from your opponent's side of the field and equip it to this card. Send the stolen card to its original owner's cemetery if this card leaves the field, changes control, or this effect is negated."
086,Thief,086-E02,2,ON_SOURCE_INVALIDATED,"This card leaves field, changes control, or this effect is negated",Zone Movement,RETURN_LINKED_CARDS,returnLinkedCards,Stolen equip card,Send to original owner's cemetery,Instant,FALSE,,"When summoned, steal 1 equip card from your opponent's side of the field and equip it to this card. Send the stolen card to its original owner's cemetery if this card leaves the field, changes control, or this effect is negated."
087,Wild Vampire,087-E01,1,ON_HIT,This creature hits,Stat Set,APPLY_STAT_MODIFIER,applyStatModifier,Opponent primary creature,AL set to 0,"Until source/target leaves, switches control, or effect negated",FALSE,,"When this creature hits, reduce your opponent's primary creature's AL to 0. Increase this card's Modifier by the number decreased. This effect resets if this card or the affected creature leaves the field, switches control, or this effect is negated."
087,Wild Vampire,087-E02,2,ON_HIT,This creature hits,Dynamic Stat Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This card,Increase Modifier by amount opponent AL decreased,"Until source/target leaves, switches control, or effect negated",FALSE,,"When this creature hits, reduce your opponent's primary creature's AL to 0. Increase this card's Modifier by the number decreased. This effect resets if this card or the affected creature leaves the field, switches control, or this effect is negated."
088,Skeleton Lord,088-E01,1,ON_SUMMON,Opponent has creature in cemetery,Limited Summon/Control,TAKE_CONTROL_AS_LIMITED_SUMMON,takeControlAsLimitedSummon,1 opponent creature in their cemetery,Take control as your Limited Summon,While source remains active,FALSE,,"When summoned, take control of 1 of your opponent's creatures in their cemetery as your Limited Summon. Return it back to your opponent's cemetery if this creature leaves the field, changes control, or this effect is negated."
088,Skeleton Lord,088-E02,2,ON_SOURCE_INVALIDATED,"This creature leaves field, changes control, or effect is negated",Zone Movement,RETURN_LINKED_SUMMON,returnLinkedSummon,Linked Limited Summon,Return to opponent's cemetery,Instant,FALSE,,"When summoned, take control of 1 of your opponent's creatures in their cemetery as your Limited Summon. Return it back to your opponent's cemetery if this creature leaves the field, changes control, or this effect is negated."
089,Gnome Dragoon,089-E01,1,WHILE_ON_FIELD,"Each card in your hand with ""Gnome"" in its name",Scaling Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This creature,For every card in your hand with Gnome in its name: Atk Dice Rolls +1; Modifier +1,While on field,FALSE,,"For every card in your hand with ""Gnome"" in its name, add: Atk Dice Rolls: +1. Modifier: +1."
090,Gnome Warrior,090-E01,1,WHILE_ON_FIELD,"Each card in your hand with ""Gnome"" in its name",Scaling Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This creature,For every card in your hand with Gnome in its name: Atk Dice Rolls +1; Modifier +1,While on field,FALSE,,"For every card in your hand with ""Gnome"" in its name, add: Atk Dice Rolls: +1. Modifier: +1."
091,The Seer,091-E01,1,WHILE_ON_FIELD,You request to see opponent hand,Hand Reveal,APPLY_PLAY_RESTRICTION,applyPlayRestriction,Opponent hand,Opponent must show hand on request,While on field,FALSE,,"While this card is on the field, your opponent must show you their hand whenever you request."
093,Subject #4212,093-E01,1,SUMMON_REQUIREMENT,"""Pumpkin Man"" is used as sacrifice for Subject #4212",Sacrifice Value,APPLY_SACRIFICE_VALUE,applySacrificeValue,Pumpkin Man used for this card,Counts as 2 sacrifices,Before summon,FALSE,,"If ""Pumpkin Man"" is used as a sacrifice, it counts as 2 sacrifices for this card."
094,Giant Snake,094-E01,1,ON_HIT,This creature hits,Status,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Targeted creature,Cannot inflict Atk damage until escape roll succeeds,Until escape roll succeeds,FALSE,,"When this creature hits, the targeted creature cannot inflict Atk damage. Once per turn, they may roll 1 die. If the result is 3-6, this effect ends."
094,Giant Snake,094-E02,2,ONCE_PER_TURN,Roll 1 die; success 3-6,Status Escape Roll,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Affected creature,End effect on 3-6,Instant,FALSE,,"When this creature hits, the targeted creature cannot inflict Atk damage. Once per turn, they may roll 1 die. If the result is 3-6, this effect ends."
096,Bomb,096-E01,1,ON_CARD_REMOVED_FROM_FIELD,This card is removed from the field,Triggered Damage,DEAL_INSTANT_DAMAGE,dealDirectDamage,Equipped creature,30 damage,Instant,FALSE,,"If this card is removed from the field, deal 30 damage to the equipped creature."
098,Time Melt,098-E01,1,WHILE_ON_FIELD,This card is on the field,Play Restriction,APPLY_PLAY_RESTRICTION,applyGlobalPlayRestriction,All players,Lightning cards cannot be played,While on field,FALSE,,"While this card is on the field, Lightning cards cannot be played."
099,Time Weaver,099-E01,1,WHILE_ON_FIELD,This card is on the field,Play Restriction,APPLY_PLAY_RESTRICTION,applyGlobalPlayRestriction,All players,Lightning cards cannot be played,While on field,FALSE,,"While this card is on the field, Lightning cards cannot be played."
100,Wolf Knight,100-E01,1,DURING_YOUR_TURN_ACTIVATED,"Creature in hand has ""Were"" in its name",Limited Summon,SUMMON_LIMITED_CREATURE_FROM_HAND,summonLimitedFromHand,"Creature with ""Were"" in name from your hand",Limited Summon,While source remains active,FALSE,,"During your turn, you may summon a creature with ""Were"" in its name from your hand as a Limited Summon. Return them to your hand if this card leaves the field, changes control, or this effect is negated."
100,Wolf Knight,100-E02,2,ON_SOURCE_INVALIDATED,"This card leaves field, changes control, or effect is negated",Zone Movement,RETURN_LINKED_SUMMON,returnLinkedSummon,Linked Limited Summon,Return to your hand,Instant,FALSE,,"During your turn, you may summon a creature with ""Were"" in its name from your hand as a Limited Summon. Return them to your hand if this card leaves the field, changes control, or this effect is negated."
101,Attack Beacon,101-E01,1,WHILE_FIELD_ACTIVE,Creature base AL <= 6 and creature has no card effect,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Creatures with base AL 6 or less and no card effect,ATK_DICE_ROLLS ADD 1,While field effect is active,FALSE,"Field aura for low-AL non-effect creatures. Card library marks this as Lightning, but image/effect behaves like a field aura; review subtype if needed.",Creatures with a base AL of 6 or less and no card effect gain the following: Atk Dice Rolls: +1.
102,Acolyte,102-E01,1,AT_BEGINNING_OF_YOUR_TURN,Beginning of your turn,Healing Over Time,APPLY_HEALING_OVER_TIME,applyHealingOverTime,This creature,Heal 5 HP,While on field,FALSE,,"At the beginning of your turn, heal this creature 5 HP."
103,Herbal Poultice,103-E01,1,ON_PLAY,Roll 1 die,Healing,HEAL_BY_ROLL,healByRoll,Target creature,Heal by D6 table,Instant,FALSE,,Roll 1 die to heal a creature. If the result is: 1-3: 10 HP. 4-5: 20 HP. 6: 30 HP.
104,Claws of the Beast,104-E01,1,ON_EQUIP,Equipped creature; check if Wings of the Beast is also equipped,Dice Modifier,APPLY_DICE_MODIFIER,applyDiceModifier,Equipped creature,Atk Dice Rolls +2 for 1 turn cycle; +3 instead if Wings of the Beast also equipped,1 turn cycle,FALSE,Non-stacking replacement: +3 instead of +2 when Wings of the Beast is also equipped. Turn cycle is one full round back to the same player.,"Equipped creature gains +2 Atk Dice Rolls for 1 turn cycle. If ""Wings of the Beast"" is also equipped to this creature, it gains +3 Atk Dice Rolls instead."
105,Nightmare Claw,105-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_DICE_ROLLS ADD 1,While equipped,FALSE,Basic stat/dice modifier.,Atk Dice Rolls: +1.
106,Ancestral Sword,106-E01,1,WHILE_FIELD_ACTIVE,You control a primary creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Your primary creature,ATK_BONUS ADD 2,While field effect is active,FALSE,Field aura only affects your primary creature.,This card only affects your primary creature. Atk: +2.
107,Reverse Polarity,107-E01,1,WHILE_FIELD_ACTIVE,Two creatures compare battle priority,Attack Priority,APPLY_ATTACK_PRIORITY_OVERRIDE,applyAttackPriorityOverride,All battles,Creature with lower SPD attacks first,While field effect is active,FALSE,,"While this card is active on the field, the creature with lower SPD attacks first."
108,Melt Armor,108-E01,1,DURING_DAMAGE_CALC,Equipped creature attacks a creature with AL 7-11 or AL 12,Conditional Dice Modifier,APPLY_DICE_MODIFIER,applyDiceModifier,Equipped creature,Against AL 7-11: Atk Dice Rolls +2; against AL 12: Atk Dice Rolls +3,While equipped,FALSE,,The equipped creature gains the following against: AL 7-11 creatures: +2 Atk Dice Rolls. AL 12 creatures: +3 Atk Dice Rolls.
109,The Guide,109-E01,1,ON_CREATURE_SENT_TO_CEMETERY,A creature is sent to the cemetery,Healing,HEAL_BY_CEMETERY_EVENT,healByCemeteryEvent,This card,Heal for 1/2 total HP of sent creature,Instant,FALSE,Half values round up per global rules.,"When a creature is sent to the cemetery, heal this card for 1/2 of the total HP of the sent creature."
110,Winter Sentinel,110-E01,1,ON_OPPONENT_ATTACK_FINISHES_FROM_HAND,Opponent finishes their attack,Negation,NEGATE_ATTACK,negateAttack,Opponent attack,Negate the attack,Instant,FALSE,,"When your opponent finishes their attack, play this card. Negate the attack and freeze the attacking creature for 1 turn cycle. Frozen creature cannot inflict Atk damage or be sacrificed."
110,Winter Sentinel,110-E02,2,AFTER_NEGATE_ATTACK,Winter Sentinel negated the attack,Status,APPLY_STATUS,applyConditionalStatus,Attacking creature,Frozen; cannot inflict Atk damage or be sacrificed,1 turn cycle,FALSE,Turn cycle is one full round back to the same player.,"When your opponent finishes their attack, play this card. Negate the attack and freeze the attacking creature for 1 turn cycle. Frozen creature cannot inflict Atk damage or be sacrificed."
111,Icy Breath,111-E01,1,ON_OPPONENT_SUMMONS_CREATURE,Opponent summons a creature,Status,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Summoned creature,Frozen; cannot inflict Atk damage or be sacrificed,Until escape roll succeeds,FALSE,,"Play this card when your opponent summons a creature. That creature is frozen and cannot inflict Atk damage or be sacrificed. During their turn they may roll 1 die. If 5-6, this effect ends and this card is sent to the cemetery."
112,Electro Wizard,112-E01,1,IF_NO_BATTLE_DURING_YOUR_TURN,This card does not battle during your turn,Delayed Dice Modifier,APPLY_DICE_MODIFIER,applyDiceModifier,This creature,Atk Dice Rolls +4 during your next turn,Next turn,FALSE,Track a delayed non-stacking buff for the next turn only.,"If this card does not battle during your turn, you may add +4 Atk Dice Rolls during your next turn. This effect does not stack."
113,The Alchemist,113-E01,1,DURING_YOUR_TURN_ACTIVATED,Roll 1 die,Random Effect,ROLL_DAMAGE_TABLE,rollDamageTable,This creature or opponent creature,D6: 1-2 heal self 5; 3-4 deal 10 to opponent; 5-6 deal 5 to self,Instant,FALSE,,"During your turn, roll 1 die. If the result is: 1-2: Heal this creature 5 HP. 3-4: Inflict 10 damage to opponent's creature. 5-6: Inflict 5 damage to this card."
114,Forgotten One,114-E01,1,WHILE_ON_FIELD,This card's SPD is over 12,Scaling Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This creature,Modifier +1 for each point of SPD over 12,While on field,FALSE,,Add +1 to this creature's Modifier for each point in this card's SPD stat over 12.
115,Magic Artillery,115-E01,1,AT_BEGINNING_OF_YOUR_TURN,"At beginning of your turn, you may roll 1 die",Random Field Effect,ROLL_DAMAGE_TABLE,rollDamageTable,Opponent or this card,D6: 6 opponent discards 1 Magic; 2-5 nothing; 1 destroy this card,Instant,FALSE,,"At the beginning of your turn, you may roll 1 die. If the result is: 6: Opponent must discard 1 Magic card. 2-5: Nothing happens. 1: Destroy this card."
116,Ring of Extremes,116-E01,1,DURING_HIT_ROLL,Equipped creature rolls to hit,Hit Outcome Override,APPLY_HIT_OUTCOME_OVERRIDE,applyHitOutcomeOverride,Equipped creature hit roll,Ignore Hit Modifier and target AL; use custom outcome table,While equipped,FALSE,,"When the equipped creature rolls to hit, ignore its Hit Modifier and the target's AL. Use the following outcomes instead: 1-8: Critical Fail. 9-12: Critical Hit. 13+: Normal Hit."
117,Frenzy,117-E01,1,WHILE_FIELD_ACTIVE,Player has a turn,Battle Requirement,APPLY_BATTLE_REQUIREMENT,applyBattleRequirement,All players,Must declare battle during their turn,While field effect is active,FALSE,,"All players must declare battle during their turn. If any player's creature is unable to battle due to another card effect, this card is destroyed."
117,Frenzy,117-E02,2,WHEN_PLAYER_CANNOT_BATTLE,Any player's creature is unable to battle due to another card effect,Destroy,DESTROY_SELF,destroySelf,This card,Destroyed if a creature cannot battle due to another card effect,Instant,FALSE,,"All players must declare battle during their turn. If any player's creature is unable to battle due to another card effect, this card is destroyed."
118,Magic Shield,118-E01,1,WHEN_EQUIPPED_CREATURE_TARGETED_BY_MAGIC,Magic card targets the equipped creature,Magic Shield,ADD_NEXT_MAGIC_SHIELD,addNextMagicShield,Next magic card targeting equipped creature,"Negate effect, send magic and this card to cemetery",Until used,FALSE,,"Negate the effect of the next magic card that targets the equipped creature. Once used, send the negated magic card and this card to the cemetery."
119,Foggy Night,119-E01,1,ON_PLAY,Foggy Night resolves,Play Restriction,APPLY_PLAY_RESTRICTION,applyGlobalPlayRestriction,All players,Only creatures and equip cards can be played,3 turn cycles,FALSE,Turn cycle is one full round back to the same player.,"For 3 turn cycles, only creatures and equip cards can be played."
120,Apocalypse,120-E01,1,EACH_TURN,All players roll 1 die each turn,Apocalypse Roll,ROLL_DAMAGE_TABLE,rollDamageTable,All primary creatures,"If all players' D6 results match, all primary creatures receive 100 damage and this card goes to cemetery",While field effect is active,FALSE,,"All players must roll 1 die each turn. If the result of all dice match, all primary creatures receive 100 damage. If this effect occurs, send this card to the cemetery."
121,Cure Minor Wounds,121-E01,1,DURING_BATTLE_FROM_HAND,During battle,Healing,HEAL_BY_ROLL,healByRoll,A creature,Roll 2 dice and heal result,Instant,FALSE,,"During battle, play this card from your hand. Roll 2 dice and heal a creature the result of the dice."
122,Ignite,122-E01,1,ON_PLAY,Roll 1 die,Direct Damage,ROLL_DAMAGE_TABLE,rollDamageTable,Target creature,Roll damage table,Instant,FALSE,Damage table uses a D6 result.,Roll 1 die to inflict damage on a creature. If the result is: 1-5: 10 damage. 6: 20 damage.
123,Sleepy Scent,123-E01,1,ON_EQUIP,Equipped to creature,Status,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Equipped creature,Sleep for 2 turn cycles; cannot initiate battle; heals 10 HP per turn cycle,2 turn cycles,FALSE,Turn cycle is one full round back to the same player.,"Equipped creature is put to sleep for 2 turn cycles. It cannot initiate battle, but also heals 10 HP per turn cycle. Any damage wakes the sleeping creature and sends this card to your cemetery."
123,Sleepy Scent,123-E02,2,ON_EQUIPPED_CREATURE_DAMAGED,Equipped creature takes any damage,Status Cleanup,APPLY_SOURCE_LINKED_CLEANUP,applySourceLinkedCleanup,Equipped creature and this card,Wake creature and send this card to your cemetery,Instant,FALSE,,"Equipped creature is put to sleep for 2 turn cycles. It cannot initiate battle, but also heals 10 HP per turn cycle. Any damage wakes the sleeping creature and sends this card to your cemetery."
124,The First Law,124-E01,1,WHILE_EQUIPPED,Opponent hand size changes,Scaling Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,Equipped creature,For every card in opponents' hand: Atk Dice Rolls +1; Modifier +1,While equipped,FALSE,,For every card in your opponents hand the equipped creature receives: Atk Dice Rolls: +1. Modifier: +1.
125,Reduce the Burden,125-E01,1,ON_PLAY,This card is played to the field,Cemetery HP Adjustment,ADJUST_CEMETERY_HP,reduceCemeteryHp,Your cemetery score,Reduce by 30 HP,Instant,FALSE,Cemetery HP can go below zero per global rules.,Play this card to the field. When it is played to the field send it to your cemetery. Reduce your overall cemetery by 30 HP.
126,Warming Glow,126-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,HIT_DICE_ROLLS ADD 1,While equipped,FALSE,Basic stat/dice modifier.,Hit Dice Rolls: +1.
127,Lightning Strike,127-E01,1,ON_OPPONENT_PLAYS_MAGIC,Opponent plays a magic card,Magic Negation,NEGATE_MAGIC_AND_SEND_TO_CEMETERY,negateMagicToCemetery,Opponent magic card,Negate magic card,Instant,FALSE,,Play this card from your hand when your opponent plays a magic card. Negate the magic card and then inflict 30 damage to all creatures on the field.
127,Lightning Strike,127-E02,2,AFTER_NEGATE_MAGIC,Lightning Strike negated a magic card,Area Damage,DEAL_INSTANT_DAMAGE,dealDirectDamage,All creatures on the field,30 damage,Instant,FALSE,,Play this card from your hand when your opponent plays a magic card. Negate the magic card and then inflict 30 damage to all creatures on the field.
128,Frog of Fortune,128-E01,1,ON_PLAY,You have a magic card in hand and magic card in cemetery,Card Trade,TRADE_CARD_WITH_CEMETERY,tradeCardWithCemetery,Your hand and cemetery,Trade 1 magic card in hand for 1 magic card in cemetery,Instant,FALSE,,Trade 1 magic card in your hand for 1 in your cemetery.
129,Peddling Partridge,129-E01,1,ON_PLAY,You have a creature in hand and creature in cemetery,Card Trade,TRADE_CARD_WITH_CEMETERY,tradeCardWithCemetery,Your hand and cemetery,Trade 1 creature in hand for 1 creature in cemetery,Instant,FALSE,,Trade 1 creature in your hand for 1 in your cemetery.
130,Scroll of Silence,130-E01,1,ON_PLAY,This card is played when played,Negation Rule,SET_CAN_BE_NEGATED,setCanBeNegated,This card,Cannot be negated,While resolving,FALSE,Set response flags so this card cannot be negated during its response window.,Play this card from your hand if your opponent plays a Lightning card. Negate the Lightning card effect and send it to the cemetery. This card cannot be negated.
130,Scroll of Silence,130-E02,2,ON_OPPONENT_PLAYS_LIGHTNING,Opponent plays a Lightning card,Lightning Negation,NEGATE_LIGHTNING_AND_SEND_TO_CEMETERY,negateLightningToCemetery,Opponent Lightning card,Negate effect and send to cemetery,Instant,FALSE,,Play this card from your hand if your opponent plays a Lightning card. Negate the Lightning card effect and send it to the cemetery. This card cannot be negated.
