Card Number,Card Name,Generation,Edition,Card Kind,Rarity,Creature Type,Magic Type,Magic Subtype,Is Equip,Is Field,AL,HP,SPD,Attack Name,Attack Dice,Modifier,Raw Effect Text,Flavor Text,Image Source,Notes,Needs Review,Is Bonus Card
115,Shard Titan,3,1st Edition,CREATURE,Legendary,Cosmic,,,FALSE,FALSE,7,40,9,Shatter Shard,6,4,"Summon Requirement: Can only be summoned if your primary creature is Cosmic-type and has ""Strange Jewel"" equipped. You may sacrifice it to summon this card as your primary creature. If this card leaves the field, it returns to a magic card.",,user-uploaded image,Custom summon requirement tied to exact equip and hybrid return-to-magic state.,TRUE,FALSE
116,Strange Jewel,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,Hit: +2.,,user-uploaded image,,FALSE,FALSE
117,Soul Drain,3,1st Edition,MAGIC,Uncommon,,Infinite,Equip,TRUE,FALSE,,,,,,,Atk Dice Rolls: -1. Modifier: -1. Atk Dice Rolls cannot be reduced to 0.,,user-uploaded image,,TRUE,FALSE
118,Contaminate,3,1st Edition,MAGIC,Epic,,Infinite,Equip,TRUE,FALSE,,,,,,,"Equip this card to your primary creature. Once per turn cycle the equipped creature receives 5 damage. When the equipped creature is killed by Atk damage, equip this card to the creature that killed it.",,user-uploaded image,Attach transfers when equipped creature is killed by attack damage.,TRUE,FALSE
119,Orgar,3,1st Edition,CREATURE,Epic,Humanoid,,,FALSE,FALSE,7,70,6,Pummel,4,4,Apply the following to this card during battle: Atk Dice Rolls +2 against Humanoid-type creatures. Atk Dice Rolls -2 against Beast-type creatures.,,user-uploaded image,,TRUE,FALSE
120,Ooze Weaver,3,1st Edition,CREATURE,Epic,Mechanical,,,FALSE,FALSE,2,30,8,Oozed,1,0,"When a magic card is played or this card would receive Atk damage, choose 1 of the following: Take 15 damage to negate the magic card. Take 10 damage to negate the Atk damage. This creature is unaffected by magic cards.",,user-uploaded image,Choice-based self-damage negation/replacement plus magic immunity.,TRUE,FALSE
121,Ancient Sentinel,3,1st Edition,CREATURE,Rare,Mechanical,,,FALSE,FALSE,9,70,6,Iron Blow,3,0,This card’s Modifier is equal to your opponent’s current primary creature’s base SPD stat.,,user-uploaded image,,TRUE,FALSE
122,Dart Frog,3,1st Edition,CREATURE,Rare,Beast,,,FALSE,FALSE,1,30,11,Tongue Snap,1,0,"If this card is killed by a creature that is not holding a weapon, equip it to that creature as an Infinite equip magic card. The equipped creature receives 5 damage at the end of your turn.",,user-uploaded image,,TRUE,FALSE
123,Ashen Knight,3,1st Edition,CREATURE,Legendary,Humanoid,,,FALSE,FALSE,10,80,10,Trample,3,3,"While this creature is below 40 HP, it gains Atk: +10. Hit: +10. AL: +2. SPD: +3.",,user-uploaded image,,TRUE,FALSE
124,Titan’s Amulet,3,1st Edition,MAGIC,Common,,Standard,Equip,TRUE,FALSE,,,,,,,Inflict 10 damage to your primary creature. For 1 turn cycle add Modifier: +10.,,user-uploaded image,,TRUE,FALSE
125,Gaseous Horror,3,1st Edition,CREATURE,Epic,Demon,,,FALSE,FALSE,1,50,1,Poisoned Gas,2,1,"When this creature is hit, the attacking creature receives 5 damage. If this card is killed in battle, inflict 10 damage to the creature that killed it.",,user-uploaded image,,TRUE,FALSE
126,Arcane Power,3,1st Edition,MAGIC,Rare,,Infinite,Equip,TRUE,FALSE,,,,,,,"During battle, reveal any number of cards from your hand. Increase the equipped creature’s Modifier for that battle by the number of cards revealed.",,user-uploaded image,,TRUE,FALSE
127,The Merchant,3,1st Edition,MAGIC,Rare,,Infinite,Equip,TRUE,FALSE,,,,,,,When this card is played pick 1 of the following effects: AL: +4. Hit: +4. Heal 20 HP. Destroy 1 magic card.,,user-uploaded image,,TRUE,FALSE
128,Eye For An Eye,3,1st Edition,MAGIC,Rare,,Standard,None,FALSE,FALSE,,,,,,,All players may each exchange 1 card from their hand with 1 card in their cemetery. Creature for a Creature. Magic for a Magic.,,user-uploaded image,,TRUE,FALSE
129,Mysterious Orb,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,At the beginning of your turn roll 1 die. Gain the following for 1 turn cycle: 1-2: SPD: +6. 3-4: Atk: +6. 5-6: Hit: +6.,,user-uploaded image,,TRUE,FALSE
130,Tarantula,3,1st Edition,CREATURE,Uncommon,Bug,,,FALSE,FALSE,10,80,10,Crunch,3,3,,,user-uploaded image,,FALSE,FALSE
131,Close Encounters,3,1st Edition,MAGIC,Legendary,,Infinite,Equip,TRUE,FALSE,,,,,,,"Atk: +4. SPD: +4. AL: +4. If this card is destroyed, return it to your deck after 3 turn cycles. Shuffle.",,user-uploaded image,,TRUE,FALSE
132,Woodland Elf,3,1st Edition,CREATURE,Uncommon,Humanoid,,,FALSE,FALSE,5,50,7,Aimed Shot,1,4,"During each battle, prior to your Hit Dice Roll, roll 1 die. If the result is: 1-2: +10 Atk damage. 3-4: Target’s Modifier reduced to 0. 5-6: Target’s AL reduced by 5.",,user-uploaded image,,TRUE,FALSE
133,Cockroach,3,1st Edition,CREATURE,Common,Bug,,,FALSE,FALSE,1,10,6,Pinch,1,0,,,user-uploaded image,,FALSE,FALSE
134,Orc Berserker,3,1st Edition,CREATURE,Rare,Humanoid,,,FALSE,FALSE,4,60,8,Rabid,2,3,"If this card is killed, instead, heal it to 5 HP. This effect can only occur once while this card is on the field.",,user-uploaded image,,TRUE,FALSE
135,Ironfist Dwarf,3,1st Edition,CREATURE,Rare,Humanoid,,,FALSE,FALSE,6,70,8,Midnight Jab,1,2,"During your turn, if this creature inflicts 5 or less Atk damage during battle, it may initiate battle again without the targeted creature being able to return attack. This effect can occur up to 5 times.",,user-uploaded image,,TRUE,FALSE
136,Chaos Demon,3,1st Edition,CREATURE,Uncommon,Demon,,,FALSE,FALSE,4,60,7,Wild Slash,2,1,"During your turn, this card may add +3 Atk Dice Rolls for this battle. If this effect is used and it fails to kill the targeted creature, this creature receives 1/2 the damage it dealt.",,user-uploaded image,,TRUE,FALSE
137,Gnometheon,3,1st Edition,CREATURE,Legendary,Mechanical,,,FALSE,FALSE,12,100,3,Orbital Blow,3,3,"Gain +1 Atk Dice Rolls and +1 Modifier for each ""Gnome"" named card in your hand. Gnomes sacrificed to summon this card are placed under it and count as cards in your hand. If this card leaves the field or changes control, the cards under follow it.",,user-uploaded image,Cards placed under source count as hand cards and follow source.,TRUE,FALSE
138,Flame Sentinel,3,1st Edition,MAGIC,Epic,,Lightning,Equip,TRUE,FALSE,,,,,,,"When your opponent finishes their attack, play this card. Negate the attack and equip this card to the attacking creature. The equipped creature receives 10 damage once per turn cycle for 2 turn cycles.",,user-uploaded image,,TRUE,FALSE
139,Last Goodbye,3,1st Edition,MAGIC,Epic,,Standard,Equip,TRUE,FALSE,,,,,,,"Summon a creature from your cemetery as a Limited Summon. At the end of your turn, send this card and the equipped creature to the cemetery.",,user-uploaded image,,TRUE,FALSE
140,Might of the Shaman,3,1st Edition,MAGIC,Epic,,Infinite,Equip,TRUE,FALSE,,,,,,,SPD: +6. Atk Dice Rolls: +2.,,user-uploaded image,,FALSE,FALSE
141,The Iron Man,3,1st Edition,MAGIC,Epic,,Standard,Field,FALSE,TRUE,,,,,,,"For 2 turn cycles your opponents’ creatures’ Atk Dice Rolls, Hit Dice Rolls, AL, and SPD are set to 1. This effect supersedes any increases.",,user-uploaded image,,TRUE,FALSE
142,Inversion,3,1st Edition,MAGIC,Common,,Infinite,Field,FALSE,TRUE,,,,,,,Players must play with their decks flipped upside down. Their bottom card will be showing face up.,,user-uploaded image,,TRUE,FALSE
143,Succubus,3,1st Edition,CREATURE,Uncommon,Demon,,,FALSE,FALSE,2,40,4,Lure,2,1,This creature heals for 1/2 the Atk damage it inflicts. Any excess healing above its max HP is also dealt to the target as damage.,,user-uploaded image,,TRUE,FALSE
144,The Wither,3,1st Edition,CREATURE,Rare,Undead,,,FALSE,FALSE,9,70,11,Terror Gaze,3,3,"If this card attacks a creature that has the magic card ""Fear"" equipped to it, add Atk Dice Rolls +2 and Modifier +2.",,user-uploaded image,,TRUE,FALSE
145,Eagle Knight,3,1st Edition,MAGIC,Common,,Lightning,None,FALSE,FALSE,,,,,,,During battle play this card from your hand. Negate any damage for a creature for the remainder of this turn.,,user-uploaded image,,TRUE,FALSE
146,Constructed Pylon,3,1st Edition,MAGIC,Epic,,Infinite,Field,FALSE,TRUE,,,,,,,"Play this card to your side of the field. This card fills 3 empty Infinite magic slots on your opponents side of the field. On your turn your opponent may roll 1 die, if 4-6 destroy this card.",,user-uploaded image,Occupies opponent empty Infinite slots while played to your side.,TRUE,FALSE
147,Friend Like You,3,1st Edition,CREATURE,Legendary,Beast,,,FALSE,FALSE,1,60,12,False Sneeze,1,0,"If this card is killed by Atk damage, you may summon 1 ""The Creator"" creature from your hand or deck as your primary creature at no sacrifice cost. Shuffle.",,user-uploaded image,,TRUE,FALSE
148,Enhanced Orc,3,1st Edition,CREATURE,Uncommon,Mechanical,,,FALSE,FALSE,10,70,1,Hell Cannon,4,1,,,user-uploaded image,,FALSE,FALSE
149,Sprite,3,1st Edition,CREATURE,Common,Cosmic,,,FALSE,FALSE,1,20,11,Blink,1,1,This creature can only be hit in battle if one of the attacking creature’s Hit Dice Rolls is a 3 or 4. This creature’s AL cannot increase.,,user-uploaded image,Hit validity depends on individual die values.,TRUE,FALSE
150,Tri-Dragon,3,1st Edition,CREATURE,Uncommon,Dragon,,,FALSE,FALSE,9,90,9,Tatu Strike,3,3,"If this creature’s Hit Dice match, it inflicts 3x Atk damage. This creature cannot critical Hit/Miss.",,user-uploaded image,Matching Hit Dice multiplier and critical suppression.,TRUE,FALSE
151,Eagle Family,3,1st Edition,CREATURE,Legendary,Beast,,,FALSE,FALSE,12,90,12,Proud Wing,4,4,"Whenever this creature is damaged, your opponent(s) must roll 2 dice of damage against themselves.",,user-uploaded image,Bonus card printed as 151/150; included as a bonus Gen 3 card by user request.; Bonus card outside 001-150 numbering.,TRUE,TRUE
